strategy,mean_E3,median_E3,p95_E3,valid_n,frozen_source_mean_E3,difference_from_frozen_source,paper_rounded_3dp,difference_from_paper_rounded_3dp,unit
Raw,2.645480722564959,2.0064844669560973,6.7872903248312335,145050,2.645480722564959,0.0,2.645,0.000480722564959013,m s^-3
"Fixed SG(5,2)",2.0907623139179274,1.3849395010016292,5.880188740536798,145050,2.090762313917928,-4.440892098500626e-16,2.091,-0.00023768608207275221,m s^-3
Validation-B-selected,2.0553700631460363,1.3435691715998122,5.840491176873725,145050,2.0553700631460363,0.0,2.055,0.0003700631460361592,m s^-3
