method_type,method,strategy,training_seeds,ADE,FDE,history_aware_mean_geometric_jerk,third_difference_error,velocity_boundary_error,acceleration_boundary_error,evidence_label
neural,Neural overall,Raw,10,0.8019032841465916,1.7214446197749231,1.8780682941659925,2.645480722564959,0.38137953476344977,0.8437910243434374,REVIEWER-REQUESTED REVISION ANALYSIS | POST HOC | NON-CONFIRMATORY
neural,GRU,Raw,10,0.8048382289955637,1.7376431817298006,1.4471476360978732,2.3141481932913726,0.36224750044582893,0.7612252213581054,REVIEWER-REQUESTED REVISION ANALYSIS | POST HOC | NON-CONFIRMATORY
neural,LSTM,Raw,10,0.8018615954515418,1.7299253907548913,1.4339736540641639,2.304750092152628,0.3790130401239503,0.8178457294646503,REVIEWER-REQUESTED REVISION ANALYSIS | POST HOC | NON-CONFIRMATORY
neural,MLP,Raw,10,0.769887669871186,1.658024976185717,2.121252867656786,2.7932712529836508,0.3787248667087381,0.8581442617065145,REVIEWER-REQUESTED REVISION ANALYSIS | POST HOC | NON-CONFIRMATORY
neural,PositionalTransformer,Raw,10,0.8460802699067733,1.7816875442055324,1.9123761728653346,2.6941216573118543,0.41658021313646876,0.9262234920496699,REVIEWER-REQUESTED REVISION ANALYSIS | POST HOC | NON-CONFIRMATORY
neural,TemporalCNN,Raw,10,0.7868486565078936,1.699942005998674,2.475591140145803,3.121112417085289,0.3703320534022624,0.8555164171382476,REVIEWER-REQUESTED REVISION ANALYSIS | POST HOC | NON-CONFIRMATORY
kinematic baseline,CV,Raw,0,1.24667256691851,2.603502460251211,0.2745222235145233,1.869490109362859,0.0,0.8235666705435702,REVIEWER-REQUESTED REVISION ANALYSIS | POST HOC | NON-CONFIRMATORY
kinematic baseline,CA,Raw,0,1.8182605950007484,4.056112640242864,0.0,1.9188335734633175,0.4117833352717851,0.0,REVIEWER-REQUESTED REVISION ANALYSIS | POST HOC | NON-CONFIRMATORY
kinematic baseline,CTRV,Raw,0,1.0786244839953838,2.3398173736006393,0.4358781040719413,1.7675038373358096,0.20066479731372225,0.7617349462332557,REVIEWER-REQUESTED REVISION ANALYSIS | POST HOC | NON-CONFIRMATORY
