panel,panel_title,panel_note,run_id,model,seed,selected_smoother,scene_token,sample_token,window_index,log_token,map_location,ego_global_x,ego_global_y,ego_global_yaw,map_token,ADE_raw,ADE_fixed,ADE_selected,FDE_raw,FDE_fixed,FDE_selected,Shape_raw,Shape_fixed,Shape_selected,delta_ade_FR,delta_fde_FR,delta_shape_FR,delta_ade_SF,delta_fde_SF,delta_shape_SF
a,Typical geometry reduction,median ΔShape case,P2B_042_log_primary_PositionalTransformer_s1,PositionalTransformer,1,qreg_l1,36e3167610cc48eabcaad06a72479ac7,e7eb475f0434413fa8f207a2fc113a06,9,69271ec7af1f446ca16820ac46d2047a,boston-seaport,1444.8146395712877,926.264390042933,2.436412043190594,36092f0b03a857c6a3403e25b4b7aab3,0.33498715970908166,0.32941629635216113,0.3260118732057504,0.7976295426560224,0.8104240542764041,0.7976295426560224,0.6443480758171173,0.3206639570370937,0.2652136016936971,-0.00557086335692053,0.012794511620381699,-0.32368411878002357,-0.0034044231464107066,-0.012794511620381699,-0.055450355343396596
b,"Accuracy preserved, geometry altered",small ΔADE/FDE,P2B_042_log_primary_PositionalTransformer_s1,PositionalTransformer,1,qreg_l1,64a3a2d22172406c848f2a92275808ba,1f60f2715ba14d4c85a64f2aca576862,3,69271ec7af1f446ca16820ac46d2047a,boston-seaport,1309.0194887480113,1044.601674288407,2.4666797173872093,36092f0b03a857c6a3403e25b4b7aab3,0.5519063243659948,0.5516586649467725,0.5492589957594203,1.483071142277096,1.4858044348122883,1.483071142277096,1.2113046794509847,0.34417872657096743,0.34468266389071167,-0.0002476594192223347,0.0027332925351923887,-0.8671259528800173,-0.002399669187352238,-0.0027332925351923887,0.0005039373197442409
c,Local error increase,positive-tail case,P2B_042_log_primary_PositionalTransformer_s1,PositionalTransformer,1,qreg_l1,634e7fbfe29c4a72b1ceb692b1d2ab44,6c91a4e361c94bd7b976f7a971cd03d3,12,69271ec7af1f446ca16820ac46d2047a,boston-seaport,1911.6324121179098,873.4122052142366,-3.1234178301385396,36092f0b03a857c6a3403e25b4b7aab3,0.31745525875143105,0.32575313490172764,0.32307977871272114,0.7301064337415174,0.7474762063123137,0.7301064337415174,1.04088070232277,0.22656519886846657,0.3934091483486583,0.00829787615029659,0.017369772570796305,-0.8143155034543034,-0.0026733561890064927,-0.017369772570796305,0.16684394948019174
d,Selected differs from Fixed SG,"qreg_l1 vs SG(5,2)",P2B_042_log_primary_PositionalTransformer_s1,PositionalTransformer,1,qreg_l1,696a45dbd11346b794fdce43fa0a1770,0d45f0bedc6d455ea5a28cb4939c910d,13,f61e86a4241b484484da143725dce8fc,singapore-queenstown,838.2838507070239,1525.713770643669,2.77544560400226,93406b464a165eaba6d9de76ca09f5da,0.4681936804334839,0.46841488026130346,0.46816131087757,0.5649469440506315,0.5577410010036981,0.5649469440506315,1.333180167021776,1.2291883750404091,1.1598271310595731,0.0002211998278195404,-0.0072059430469334496,-0.10399179198136688,-0.00025356938373344295,0.0072059430469334496,-0.06936124398083598
