,mean,std
fixed_minus_raw_ade,-0.0010925586692876624,0.0021034751703209067
fixed_minus_raw_fde,-0.0013518001249312925,0.004156394063615055
fixed_minus_raw_shape,-0.8310773852927688,0.47396031035557634
selected_minus_fixed_ade,-0.0013978112956241399,0.0031869264810300206
selected_minus_fixed_fde,0.000927046903158806,0.004158437315719912
selected_minus_fixed_shape,-0.03825532597806904,0.2167242583974393
